frame;n_blobs;blob_id;blob_classification;blob_classification_color;blob_motion_index;blob_positive_index;blob_contour_std_deviation;blob_centerX;blob_centerY;blob_speedX;blob_speedY;blob_minX;blob_minY;blob_maxX;blob_maxY;blob_area;blob_perimeter;blob_convex_hull_area;blob_convex_hull_perimeter;blob_aspect_ratio;blob_extent_ratio;blob_solidity_ratio;blob_diameter;blob_compactness;blob_major_axis_rotation;blob_minor_axis_rotation;blob_rotation
39;1;0;person;blue;19;40;50,18069266820012;146,57932189858113;145,5375235684958;-14,642302981681468;3,7396572763475433;81;26;204;229;14003,5;601,1198382377625;17450,5;560,3865399360657;0,6059113300492611;0,5608354359405663;0,8024698432709665;133,52831147250703;25,803910445459614;111,4118881225586;231,2353973388672;173,71531677246094
40;1;0;person;blue;20;41;47,74808089198997;130,66049123227756;146,41592250093282;-15,918830666303563;0,8783989324370225;60;27;197;240;14677,5;650,0904011726379;19233,5;592,698083281517;0,6431924882629108;0,5029813920016449;0,7631216367275847;136,7039626998806;28,79356359712494;128,43804931640625;235,7213592529297;162,9173583984375
41;1;0;person;blue;21;42;54,62346503312845;113,27481199730629;148,6560507133326;-17,385679234971278;2,2401282123997817;70;27;180;240;14646,5;603,8061301708221;16604,0;567,4562433958054;0,5164319248826291;0,6251173708920188;0,8821067212719826;136,5595217916479;24,892079529707697;99,77365112304688;244,1680450439453;164,5015106201172
42;1;0;person;blue;22;43;47,77421374276282;94,79920640442705;143,35942399246304;-18,475605592879234;-5,296626720869568;51;24;157;237;14803,5;576,9777026176453;16082,5;545,1768161058426;0,49765258215962443;0,6556603773584906;0,9204725633452511;137,28948102635897;22,488146000468532;87,76668548583984;258,9101867675781;165,65589904785156
43;1;0;person;blue;23;44;52,520429804055574;73,99908162169343;144,3980566195012;-20,80012478273362;1,0386326270381687;29;20;133;240;16231,5;595,5218588113785;17506,5;570,817314863205;0,4727272727272727;0,7094187062937063;0,927169908319767;143,75878293297004;21,84926127111847;97,57486724853516;266,625732421875;170,52459716796875
44;1;0;person;blue;24;45;51,85113338041895;57,62543645741039;140,29757212366349;-16,373645164283047;-4,100484495837719;14;14;113;240;16579,5;599,1787134408951;17880,5;570,7454129457474;0,43805309734513276;0,7410163582729954;0,9272391711641174;145,29168947994455;21,65415909048441;94,26346588134766;276,2872619628906;171,4320526123047
45;1;0;person;blue;25;46;45,65157330754927;42,29051586998915;138,7570670971589;-15,334920587421237;-1,5405050265045759;4;11;98;240;15864,0;589,7645004987717;16965,5;567,9960979223251;0,4104803493449782;0,7369692464926136;0,9350741210102855;142,12203255540157;21,925250003061375;102,73278045654297;264,2105407714844;168,0567626953125
46;1;0;person;blue;26;47;44,72840805536417;36,43423946187629;141,62991045688256;-5,856276408112862;2,872843359723646;4;10;87;240;13025,0;570,9360728263855;14056,0;545,3822898864746;0,36086956521739133;0,6822943949711892;0,9266505406943654;128,77866698399814;25,026333915886045;98,10492706298828;268,88482666015625;165,65069580078125
47;1;0;person;blue;27;48;46,57323626997593;31,802283746095853;150,82443526744638;-4,631955715780435;9,19452481056382;4;12;75;240;10705,5;552,4091613292694;11637,0;533,1528259515762;0,31140350877192985;0,6613232023721275;0,919953596287703;116,75044302340905;28,504589371865567;93,87830352783203;276,256591796875;165,8309326171875
48;1;0;person;blue;28;49;46,15193403837154;27,929285015772802;161,3696245822192;-3,872998730323051;10,545189314772813;4;17;66;240;7850,0;533,3380932807922;9010,0;510,42237770557404;0,27802690582959644;0,567770866483437;0,8712541620421753;99,97464891746822;36,23560786552753;53,38711929321289;316,1059875488281;170,68397521972656
